1400 step, loss = 1045.296, accuracy = 0.940
1410 step, loss = 775.277, accuracy = 0.960
1420 step, loss = 500.854, accuracy = 0.950
1430 step, loss = 760.948, accuracy = 0.960
1440 step, loss = 1026.401, accuracy = 0.960
1450 step, loss = 728.125, accuracy = 0.950
1460 step, loss = 950.250, accuracy = 0.960
1470 step, loss = 687.512, accuracy = 0.960
1480 step, loss = 1890.921, accuracy = 0.920
1490 step, loss = 650.575, accuracy = 0.950
1500 step, loss = 1136.633, accuracy = 0.940
1510 step, loss = 1186.352, accuracy = 0.960
1520 step, loss = 791.363, accuracy = 0.950
1530 step, loss = 554.081, accuracy = 0.930
1540 step, loss = 1164.497, accuracy = 0.950
1550 step, loss = 460.455, accuracy = 0.960
1560 step, loss = 435.595, accuracy = 0.980
1570 step, loss = 751.972, accuracy = 0.970
1580 step, loss = 811.581, accuracy = 0.970
1590 step, loss = 991.910, accuracy = 0.960
1600 step, loss = 372.181, accuracy = 0.980
1610 step, loss = 1344.492, accuracy = 0.930
1620 step, loss = 630.814, accuracy = 0.970
1630 step, loss = 339.751, accuracy = 0.960
1640 step, loss = 323.671, accuracy = 0.970
1650 step, loss = 776.106, accuracy = 0.970
1660 step, loss = 1167.647, accuracy = 0.940
1670 step, loss = 632.704, accuracy = 0.980
1680 step, loss = 1628.583, accuracy = 0.920
1690 step, loss = 200.421, accuracy = 0.980
1700 step, loss = 1443.733, accuracy = 0.960
1710 step, loss = 475.244, accuracy = 0.980
1720 step, loss = 699.476, accuracy = 0.950
1730 step, loss = 924.745, accuracy = 0.960
1740 step, loss = 722.170, accuracy = 0.950
1750 step, loss = 1445.072, accuracy = 0.930
1760 step, loss = 1382.365, accuracy = 0.940
1770 step, loss = 504.959, accuracy = 0.950
1780 step, loss = 673.816, accuracy = 0.940
1790 step, loss = 946.896, accuracy = 0.950
1800 step, loss = 463.531, accuracy = 0.980
1810 step, loss = 818.972, accuracy = 0.960
1820 step, loss = 1081.666, accuracy = 0.960
1830 step, loss = 915.308, accuracy = 0.950
1840 step, loss = 391.760, accuracy = 0.970
1850 step, loss = 744.940, accuracy = 0.960
1860 step, loss = 556.545, accuracy = 0.980
1870 step, loss = 1679.638, accuracy = 0.950
1880 step, loss = 1289.946, accuracy = 0.960
1890 step, loss = 2236.956, accuracy = 0.930
1900 step, loss = 459.371, accuracy = 0.980
1910 step, loss = 171.956, accuracy = 1.000
1920 step, loss = 495.615, accuracy = 0.980
1930 step, loss = 458.408, accuracy = 0.970
1940 step, loss = 396.270, accuracy = 0.980
1950 step, loss = 671.395, accuracy = 0.970
1960 step, loss = 1015.327, accuracy = 0.950
1970 step, loss = 671.871, accuracy = 0.940
1980 step, loss = 174.548, accuracy = 0.980
1990 step, loss = 797.289, accuracy = 0.950
2000 step, loss = 937.012, accuracy = 0.940
accuracy = 0.963
