1400 step, loss = 1816.630, accuracy = 0.930
1410 step, loss = 1702.317, accuracy = 0.900
1420 step, loss = 1350.396, accuracy = 0.940
1430 step, loss = 776.705, accuracy = 0.970
1440 step, loss = 807.188, accuracy = 0.940
1450 step, loss = 668.335, accuracy = 0.960
1460 step, loss = 307.288, accuracy = 0.990
1470 step, loss = 1257.638, accuracy = 0.910
1480 step, loss = 218.063, accuracy = 0.970
1490 step, loss = 804.293, accuracy = 0.960
1500 step, loss = 609.734, accuracy = 0.980
1510 step, loss = 293.104, accuracy = 0.990
1520 step, loss = 573.012, accuracy = 0.980
1530 step, loss = 718.280, accuracy = 0.960
1540 step, loss = 1059.474, accuracy = 0.940
1550 step, loss = 270.403, accuracy = 0.980
1560 step, loss = 229.845, accuracy = 0.960
1570 step, loss = 528.713, accuracy = 0.970
1580 step, loss = 778.795, accuracy = 0.950
1590 step, loss = 532.754, accuracy = 0.950
1600 step, loss = 514.978, accuracy = 0.960
1610 step, loss = 606.907, accuracy = 0.960
1620 step, loss = 460.070, accuracy = 0.950
1630 step, loss = 730.906, accuracy = 0.980
1640 step, loss = 658.277, accuracy = 0.960
1650 step, loss = 949.627, accuracy = 0.950
1660 step, loss = 1197.982, accuracy = 0.920
1670 step, loss = 1268.156, accuracy = 0.930
1680 step, loss = 1581.617, accuracy = 0.930
1690 step, loss = 264.344, accuracy = 0.990
1700 step, loss = 386.212, accuracy = 0.960
1710 step, loss = 949.882, accuracy = 0.950
1720 step, loss = 373.380, accuracy = 0.980
1730 step, loss = 325.404, accuracy = 0.980
1740 step, loss = 2427.156, accuracy = 0.920
1750 step, loss = 399.281, accuracy = 0.990
1760 step, loss = 370.804, accuracy = 0.960
1770 step, loss = 864.119, accuracy = 0.970
1780 step, loss = 609.407, accuracy = 0.960
1790 step, loss = 266.044, accuracy = 0.990
1800 step, loss = 715.520, accuracy = 0.950
1810 step, loss = 370.648, accuracy = 0.980
1820 step, loss = 321.881, accuracy = 1.000
1830 step, loss = 670.398, accuracy = 0.950
1840 step, loss = 649.943, accuracy = 0.970
1850 step, loss = 322.397, accuracy = 0.980
1860 step, loss = 776.926, accuracy = 0.950
1870 step, loss = 317.546, accuracy = 0.980
1880 step, loss = 661.531, accuracy = 0.970
1890 step, loss = 1244.483, accuracy = 0.920
1900 step, loss = 1094.749, accuracy = 0.970
1910 step, loss = 582.394, accuracy = 0.950
1920 step, loss = 517.001, accuracy = 0.960
1930 step, loss = 38.826, accuracy = 0.990
1940 step, loss = 461.341, accuracy = 0.980
1950 step, loss = 557.124, accuracy = 0.970
1960 step, loss = 438.889, accuracy = 0.970
1970 step, loss = 909.370, accuracy = 0.970
1980 step, loss = 390.281, accuracy = 0.960
1990 step, loss = 928.470, accuracy = 0.940
2000 step, loss = 648.676, accuracy = 0.980
