1410 step, loss = 1002.303, accuracy = 0.960
1420 step, loss = 1789.096, accuracy = 0.940
1430 step, loss = 255.561, accuracy = 0.980
1440 step, loss = 812.250, accuracy = 0.940
1450 step, loss = 935.261, accuracy = 0.940
1460 step, loss = 1897.354, accuracy = 0.930
1470 step, loss = 568.484, accuracy = 0.960
1480 step, loss = 414.267, accuracy = 0.980
1490 step, loss = 2051.735, accuracy = 0.940
1500 step, loss = 600.695, accuracy = 0.960
1510 step, loss = 829.227, accuracy = 0.960
1520 step, loss = 1291.542, accuracy = 0.910
1530 step, loss = 757.414, accuracy = 0.950
1540 step, loss = 397.788, accuracy = 0.960
1550 step, loss = 210.859, accuracy = 0.990
1560 step, loss = 660.510, accuracy = 0.950
1570 step, loss = 515.874, accuracy = 0.980
1580 step, loss = 300.786, accuracy = 0.990
1590 step, loss = 382.065, accuracy = 0.990
1600 step, loss = 376.903, accuracy = 0.990
1610 step, loss = 1630.410, accuracy = 0.900
1620 step, loss = 1111.949, accuracy = 0.930
1630 step, loss = 349.882, accuracy = 0.990
1640 step, loss = 592.464, accuracy = 0.970
1650 step, loss = 747.693, accuracy = 0.940
1660 step, loss = 960.553, accuracy = 0.920
1670 step, loss = 508.218, accuracy = 0.960
1680 step, loss = 346.116, accuracy = 0.980
1690 step, loss = 299.100, accuracy = 0.980
1700 step, loss = 519.752, accuracy = 0.980
1710 step, loss = 1210.503, accuracy = 0.960
1720 step, loss = 480.325, accuracy = 0.960
1730 step, loss = 1145.233, accuracy = 0.960
1740 step, loss = 404.458, accuracy = 0.970
1750 step, loss = 538.654, accuracy = 0.960
1760 step, loss = 1031.972, accuracy = 0.970
1770 step, loss = 268.487, accuracy = 0.980
1780 step, loss = 1393.866, accuracy = 0.940
1790 step, loss = 1048.157, accuracy = 0.950
1800 step, loss = 2158.530, accuracy = 0.930
1810 step, loss = 1069.889, accuracy = 0.970
1820 step, loss = 448.208, accuracy = 0.970
1830 step, loss = 1003.660, accuracy = 0.930
1840 step, loss = 504.823, accuracy = 0.960
1850 step, loss = 609.615, accuracy = 0.980
1860 step, loss = 570.845, accuracy = 0.960
1870 step, loss = 225.173, accuracy = 0.990
1880 step, loss = 243.393, accuracy = 0.980
1890 step, loss = 521.984, accuracy = 0.950
1900 step, loss = 557.242, accuracy = 0.970
1910 step, loss = 364.785, accuracy = 0.960
1920 step, loss = 748.048, accuracy = 0.970
1930 step, loss = 565.484, accuracy = 0.970
1940 step, loss = 253.650, accuracy = 0.980
1950 step, loss = 687.733, accuracy = 0.960
1960 step, loss = 1164.108, accuracy = 0.940
1970 step, loss = 924.803, accuracy = 0.970
1980 step, loss = 413.032, accuracy = 0.970
1990 step, loss = 1110.059, accuracy = 0.940
2000 step, loss = 1351.976, accuracy = 0.940
2010 step, loss = 923.041, accuracy = 0.970
2020 step, loss = 394.874, accuracy = 0.970
2030 step, loss = 492.240, accuracy = 0.980
2040 step, loss = 1117.845, accuracy = 0.970
2050 step, loss = 647.240, accuracy = 0.980
2060 step, loss = 961.190, accuracy = 0.940
2070 step, loss = 422.262, accuracy = 0.960
2080 step, loss = 576.576, accuracy = 0.960
2090 step, loss = 757.873, accuracy = 0.970
2100 step, loss = 382.181, accuracy = 0.980
2110 step, loss = 188.936, accuracy = 0.990
2120 step, loss = 418.242, accuracy = 0.980
2130 step, loss = 678.522, accuracy = 0.950
2140 step, loss = 342.530, accuracy = 0.960
2150 step, loss = 148.636, accuracy = 0.990
2160 step, loss = 856.075, accuracy = 0.940
2170 step, loss = 771.653, accuracy = 0.970
2180 step, loss = 829.733, accuracy = 0.950
2190 step, loss = 1148.023, accuracy = 0.940
2200 step, loss = 552.835, accuracy = 0.960
2210 step, loss = 559.934, accuracy = 0.980
2220 step, loss = 1624.243, accuracy = 0.940
2230 step, loss = 586.625, accuracy = 0.960
2240 step, loss = 867.701, accuracy = 0.940
2250 step, loss = 935.683, accuracy = 0.960
2260 step, loss = 595.876, accuracy = 0.950
2270 step, loss = 803.521, accuracy = 0.930
2280 step, loss = 324.320, accuracy = 0.990
2290 step, loss = 521.794, accuracy = 0.970
2300 step, loss = 437.831, accuracy = 0.950
2310 step, loss = 1132.615, accuracy = 0.930
2320 step, loss = 525.164, accuracy = 0.990
2330 step, loss = 335.967, accuracy = 0.980
2340 step, loss = 365.341, accuracy = 0.980
2350 step, loss = 602.127, accuracy = 0.960
2360 step, loss = 422.457, accuracy = 0.980
2370 step, loss = 518.435, accuracy = 0.980
2380 step, loss = 443.774, accuracy = 0.960
2390 step, loss = 302.048, accuracy = 0.990
2400 step, loss = 852.154, accuracy = 0.960
2410 step, loss = 348.444, accuracy = 0.980
2420 step, loss = 776.190, accuracy = 0.970
2430 step, loss = 291.974, accuracy = 0.970
2440 step, loss = 801.879, accuracy = 0.980
2450 step, loss = 418.080, accuracy = 0.950
2460 step, loss = 241.475, accuracy = 0.980
2470 step, loss = 483.418, accuracy = 0.950
2480 step, loss = 237.404, accuracy = 0.980
2490 step, loss = 381.614, accuracy = 0.980
2500 step, loss = 1082.414, accuracy = 0.960
2510 step, loss = 333.702, accuracy = 0.980
2520 step, loss = 393.049, accuracy = 0.970
2530 step, loss = 778.293, accuracy = 0.980
2540 step, loss = 962.622, accuracy = 0.940
2550 step, loss = 937.741, accuracy = 0.960
2560 step, loss = 462.670, accuracy = 0.960
2570 step, loss = 758.747, accuracy = 0.970
2580 step, loss = 509.579, accuracy = 0.970
2590 step, loss = 635.368, accuracy = 0.960
2600 step, loss = 693.758, accuracy = 0.950
2610 step, loss = 869.353, accuracy = 0.950
2620 step, loss = 428.914, accuracy = 0.980
2630 step, loss = 193.342, accuracy = 0.990
2640 step, loss = 433.731, accuracy = 0.970
2650 step, loss = 1042.180, accuracy = 0.960
2660 step, loss = 555.889, accuracy = 0.960
2670 step, loss = 436.669, accuracy = 0.980
2680 step, loss = 710.095, accuracy = 0.980
2690 step, loss = 740.006, accuracy = 0.970
2700 step, loss = 512.002, accuracy = 0.970
2710 step, loss = 231.931, accuracy = 0.970
2720 step, loss = 1160.114, accuracy = 0.970
2730 step, loss = 360.748, accuracy = 0.970
2740 step, loss = 373.178, accuracy = 0.970
2750 step, loss = 198.112, accuracy = 1.000
2760 step, loss = 131.475, accuracy = 0.980
2770 step, loss = 190.715, accuracy = 0.970
2780 step, loss = 427.694, accuracy = 0.960
2790 step, loss = 837.502, accuracy = 0.980
2800 step, loss = 504.196, accuracy = 0.960
2810 step, loss = 367.850, accuracy = 0.970
2820 step, loss = 743.549, accuracy = 0.970
2830 step, loss = 333.150, accuracy = 0.980
2840 step, loss = 224.494, accuracy = 0.980
2850 step, loss = 325.525, accuracy = 0.970
2860 step, loss = 1141.960, accuracy = 0.950
2870 step, loss = 691.757, accuracy = 0.940
2880 step, loss = 499.422, accuracy = 0.980
2890 step, loss = 728.853, accuracy = 0.970
2900 step, loss = 738.137, accuracy = 0.960
2910 step, loss = 547.376, accuracy = 0.960
2920 step, loss = 204.179, accuracy = 0.980
2930 step, loss = 432.505, accuracy = 0.950
2940 step, loss = 248.515, accuracy = 1.000
2950 step, loss = 301.357, accuracy = 0.980
2960 step, loss = 424.494, accuracy = 0.990
2970 step, loss = 637.443, accuracy = 0.970
2980 step, loss = 480.572, accuracy = 0.970
2990 step, loss = 591.472, accuracy = 0.980
3000 step, loss = 1520.740, accuracy = 0.920
3010 step, loss = 884.329, accuracy = 0.940
3020 step, loss = 400.715, accuracy = 0.980
3030 step, loss = 1077.496, accuracy = 0.940
3040 step, loss = 123.834, accuracy = 0.980
3050 step, loss = 536.231, accuracy = 0.970
3060 step, loss = 890.896, accuracy = 0.970
3070 step, loss = 134.862, accuracy = 1.000
3080 step, loss = 636.236, accuracy = 0.990
3090 step, loss = 876.884, accuracy = 0.950
3100 step, loss = 175.161, accuracy = 1.000
3110 step, loss = 269.305, accuracy = 0.980
3120 step, loss = 397.017, accuracy = 0.970
3130 step, loss = 511.048, accuracy = 0.980
3140 step, loss = 569.715, accuracy = 0.960
3150 step, loss = 890.687, accuracy = 0.960
3160 step, loss = 347.686, accuracy = 0.990
3170 step, loss = 351.663, accuracy = 0.970
3180 step, loss = 417.009, accuracy = 0.970
3190 step, loss = 502.253, accuracy = 0.980
3200 step, loss = 380.724, accuracy = 0.970
3210 step, loss = 304.209, accuracy = 0.970
3220 step, loss = 183.196, accuracy = 0.990
3230 step, loss = 469.159, accuracy = 0.970
3240 step, loss = 724.023, accuracy = 0.950
3250 step, loss = 207.718, accuracy = 0.980
3260 step, loss = 593.178, accuracy = 0.970
3270 step, loss = 1436.477, accuracy = 0.940
3280 step, loss = 162.434, accuracy = 0.990
3290 step, loss = 708.009, accuracy = 0.950
3300 step, loss = 1275.476, accuracy = 0.960
3310 step, loss = 403.973, accuracy = 0.950
3320 step, loss = 79.673, accuracy = 1.000
3330 step, loss = 268.318, accuracy = 0.980
3340 step, loss = 379.034, accuracy = 0.960
3350 step, loss = 112.942, accuracy = 0.990
3360 step, loss = 262.460, accuracy = 0.990
3370 step, loss = 503.159, accuracy = 0.980
3380 step, loss = 614.964, accuracy = 0.980
3390 step, loss = 201.912, accuracy = 1.000
3400 step, loss = 1771.478, accuracy = 0.940
3410 step, loss = 294.246, accuracy = 0.980
3420 step, loss = 156.044, accuracy = 0.980
3430 step, loss = 639.184, accuracy = 0.950
3440 step, loss = 345.320, accuracy = 0.980
3450 step, loss = 839.940, accuracy = 0.960
3460 step, loss = 598.487, accuracy = 0.940
3470 step, loss = 570.350, accuracy = 0.990
3480 step, loss = 259.670, accuracy = 0.970
3490 step, loss = 191.836, accuracy = 0.990
3500 step, loss = 594.849, accuracy = 0.960
3510 step, loss = 1052.772, accuracy = 0.960
3520 step, loss = 441.262, accuracy = 0.970
3530 step, loss = 1599.295, accuracy = 0.970
3540 step, loss = 936.318, accuracy = 0.920
3550 step, loss = 1744.578, accuracy = 0.930
3560 step, loss = 4526.587, accuracy = 0.920
3570 step, loss = 460.916, accuracy = 0.970
3580 step, loss = 682.836, accuracy = 0.950
3590 step, loss = 1012.754, accuracy = 0.950
3600 step, loss = 832.264, accuracy = 0.960
3610 step, loss = 536.957, accuracy = 0.970
3620 step, loss = 162.118, accuracy = 0.980
3630 step, loss = 1695.886, accuracy = 0.970
3640 step, loss = 531.076, accuracy = 0.980
3650 step, loss = 1947.516, accuracy = 0.950
3660 step, loss = 430.997, accuracy = 0.980
3670 step, loss = 1154.760, accuracy = 0.960
3680 step, loss = 247.906, accuracy = 0.970
3690 step, loss = 764.454, accuracy = 0.950
